date,o,h,l,c,v,symbol,tRange,ema50,ema25,ema9,ema4,vol5ave,min6,max20,min20,e50streak_under,e50streak_over,decision_number,type2
2021-06-29,149.18,152.24,148.84,151.8,102799.0,NKE,3.4,131.9277,133.3929,139.0094,145.7988,171370.2,128.95,151.8,124.99,0,3,,
2021-06-30,150.67,151.21,149.43,150.38,102818.0,NKE,1.78,132.6564,134.6996,141.2835,147.6313,182801.8,129.56,151.8,124.99,0,4,,
2021-07-01,149.97,154.0,149.79,153.79,90115.0,NKE,4.21,133.4908,136.1682,143.7848,150.0948,177983.8,130.04,153.79,124.99,0,5,,
2021-07-02,154.0,155.71,153.44,155.49,63967.0,NKE,2.27,134.3592,137.6545,146.1259,152.2529,98206.4,148.3,155.49,124.99,0,6,,
2021-07-06,155.66,156.17,153.66,155.85,66710.0,NKE,2.51,135.2072,139.0542,148.0707,153.6917,85281.8,148.3,155.85,124.99,0,7,,
2021-07-07,155.9,157.2,154.07,155.9,54083.0,NKE,3.13,136.0236,140.3501,149.6366,154.575,75538.6,150.38,155.9,124.99,0,8,,
2021-07-08,153.96,156.54,153.16,156.35,60816.0,NKE,3.38,136.8253,141.5809,150.9792,155.285,67138.2,150.38,156.35,124.99,0,9,,
2021-07-09,157.39,157.65,156.24,156.71,50023.0,NKE,1.41,137.6094,142.7447,152.1254,155.855,59119.8,153.79,156.71,124.99,0,10,,
2021-07-12,157.34,158.11,156.43,157.51,49922.0,NKE,1.68,138.394,143.8805,153.2023,156.517,56310.8,155.49,157.51,124.99,0,11,,
2021-07-13,157.06,157.99,156.72,157.29,57477.0,NKE,1.27,139.1388,144.9121,154.0199,156.8262,54464.2,155.85,157.51,124.99,0,12,,
2021-07-14,157.56,158.4,157.05,157.24,49280.0,NKE,1.35,139.8521,145.8604,154.6639,156.9917,53503.6,155.9,157.51,124.99,0,13,,
2021-07-15,156.58,157.88,156.12,157.39,64325.0,NKE,1.76,140.5431,146.7473,155.2091,157.151,54205.4,156.35,157.51,124.99,0,14,,
2021-07-16,157.32,157.4,155.39,155.6,66037.0,NKE,2.01,141.1363,147.4283,155.2873,156.5306,57408.2,155.6,157.51,124.99,0,15,,
2021-07-19,153.94,154.59,152.43,153.67,73771.0,NKE,2.16,141.6299,147.9084,154.9638,155.3864,62178.0,153.67,157.51,126.62,0,16,,
2021-07-20,153.07,156.16,152.41,155.49,46292.0,NKE,3.75,142.1757,148.4916,155.0691,155.4278,59941.0,153.67,157.51,128.95,0,17,,
2021-07-21,156.23,157.13,155.75,156.79,53931.0,NKE,1.38,142.7511,149.13,155.4132,155.9727,60871.2,153.67,157.51,129.56,0,18,,
2021-07-22,156.82,159.39,156.65,159.32,48515.0,NKE,2.74,143.4034,149.9138,156.1946,157.3116,57709.2,153.67,159.32,130.04,0,19,,
2021-07-23,159.98,162.02,159.37,161.93,42177.0,NKE,2.65,144.1326,150.8382,157.3417,159.159,52937.2,153.67,161.93,148.3,0,20,,
2021-07-26,161.3,162.1,159.46,160.7,38588.0,NKE,2.64,144.7847,151.5968,158.0133,159.7754,45900.6,153.67,161.93,148.3,0,21,,
2021-07-27,160.43,161.2,158.25,160.19,43590.0,NKE,2.95,145.3909,152.2578,158.4487,159.9412,45360.2,155.49,161.93,150.38,0,22,,
2021-07-28,160.11,161.48,159.71,161.06,40936.0,NKE,1.77,146.0074,152.9349,158.9709,160.3887,42761.2,156.79,161.93,150.38,0,23,,
2021-07-29,161.48,162.58,160.99,162.55,36056.0,NKE,1.59,146.6581,153.6745,159.6868,161.2532,40269.4,159.32,162.55,153.67,0,24,,
2021-07-30,162.16,163.4,161.92,163.05,53644.0,NKE,1.48,147.3029,154.3957,160.3594,161.9719,42562.8,160.19,163.05,153.67,0,25,,
2021-08-02,164.56,165.46,163.56,164.26,55325.0,NKE,1.9,147.9698,155.1545,161.1395,162.8872,45910.2,160.19,164.26,153.67,0,26,,
2021-08-03,164.72,166.94,164.01,166.67,57181.0,NKE,2.93,148.7052,156.0403,162.2456,164.4003,48628.4,160.19,166.67,153.67,0,27,,
2021-08-04,166.8,167.75,166.41,167.33,46462.0,NKE,1.34,149.4376,156.9088,163.2625,165.5722,49733.6,161.06,167.33,153.67,0,28,,
2021-08-05,166.85,169.37,166.62,169.22,38240.0,NKE,2.75,150.2154,157.8558,164.454,167.0313,50170.4,162.55,169.22,153.67,0,29,,
2021-08-06,169.72,169.74,168.1,168.2,40887.0,NKE,1.64,150.9224,158.6515,165.2032,167.4988,47619.0,163.05,169.22,153.67,0,30,,
2021-08-09,167.91,168.45,167.05,167.2,36128.0,NKE,1.4,151.5622,159.3091,165.6026,167.3793,43779.6,164.26,169.22,153.67,0,31,,
2021-08-10,166.99,169.33,166.87,167.68,37471.0,NKE,2.46,152.1958,159.953,166.018,167.4996,39837.6,166.67,169.22,153.67,0,32,,
2021-08-11,167.42,168.61,166.39,166.71,40783.0,NKE,2.22,152.7662,160.4728,166.1564,167.1837,38701.8,166.71,169.22,153.67,0,33,,
2021-08-12,166.34,166.76,164.97,166.1,39971.0,NKE,1.79,153.2902,160.9057,166.1451,166.7502,39048.0,166.1,169.22,153.67,0,34,,
2021-08-13,165.91,167.15,164.29,167.12,29662.0,NKE,2.86,153.8336,161.3837,166.3401,166.8981,36803.0,166.1,169.22,153.67,0,35,,
2021-08-16,166.16,167.81,165.14,167.77,35302.0,NKE,2.67,154.3812,161.8749,166.6261,167.2469,36637.8,166.1,169.22,155.49,0,36,,
2021-08-17,166.97,167.13,164.87,166.12,36029.0,NKE,2.26,154.8424,162.2015,166.5249,166.7961,36349.4,166.1,169.22,156.79,0,37,,
2021-08-18,165.23,167.23,164.17,164.32,54874.0,NKE,3.06,155.2148,162.3644,166.0839,165.8057,39167.6,164.32,169.22,159.32,0,38,,
2021-08-19,162.52,163.08,159.99,161.18,73363.0,NKE,3.09,155.4491,162.2733,165.1031,163.9554,45846.0,161.18,169.22,160.19,0,39,,
2021-08-20,161.84,163.54,161.02,163.32,40391.0,NKE,2.52,155.7583,162.3538,164.7465,163.7012,47991.8,161.18,169.22,160.19,0,40,,
2021-08-23,164.94,166.35,164.68,165.2,37965.0,NKE,1.67,156.1291,162.5728,164.8372,164.3007,48524.4,161.18,169.22,160.19,0,41,,
2021-08-24,165.09,166.32,164.39,165.46,31331.0,NKE,1.93,156.4956,162.7949,164.9618,164.7644,47584.8,161.18,169.22,161.06,0,42,,
2021-08-25,165.48,166.15,165.02,165.32,30038.0,NKE,1.13,156.8422,162.9891,165.0334,164.9867,42617.6,161.18,169.22,161.18,0,43,,
2021-08-26,164.87,165.01,161.84,162.48,40696.0,NKE,3.17,157.0636,162.95,164.5227,163.984,36084.2,161.18,169.22,161.18,0,44,,
2021-08-27,163.09,163.87,162.12,163.39,30124.0,NKE,1.75,157.312,162.9838,164.2962,163.7464,34030.8,162.48,169.22,161.18,0,45,,
2021-08-30,163.69,164.2,162.4,163.83,35371.0,NKE,1.8,157.568,163.0489,164.2029,163.7798,33512.0,162.48,169.22,161.18,0,46,,
2021-08-31,163.36,163.49,160.09,160.62,75456.0,NKE,3.4,157.6878,162.8621,163.4864,162.5159,42337.0,160.62,169.22,160.62,0,47,,
2021-09-01,160.8,162.45,159.98,160.44,47065.0,NKE,2.47,157.7959,162.6757,162.8771,161.6855,45742.4,160.44,169.22,160.44,0,48,,
2021-09-02,161.11,161.29,158.72,159.58,46321.0,NKE,2.57,157.8659,162.4376,162.2177,160.8433,46867.4,159.58,168.2,159.58,0,49,,
2021-09-03,159.12,160.06,158.16,159.21,42545.0,NKE,1.9,157.9187,162.1893,161.6161,160.19,49351.6,159.21,167.77,159.21,0,50,,
2021-09-07,159.61,159.76,157.86,158.57,56488.0,NKE,1.9,157.9442,161.9109,161.0069,159.542,53575.0,158.57,167.77,158.57,0,51,,
2021-09-08,157.95,158.04,155.75,156.69,65917.0,NKE,2.29,157.895,161.5093,160.1435,158.4012,51667.2,156.69,167.77,156.69,0,52,,enterS1
2021-09-09,161.13,161.99,159.12,159.25,84148.0,NKE,2.87,157.9482,161.3355,159.9648,158.7407,59083.8,156.69,167.77,156.69,1,0,,
2021-09-10,160.14,161.52,159.35,159.5,42521.0,NKE,2.17,158.0091,161.1943,159.8719,159.0444,58323.8,156.69,167.77,156.69,0,1,,
2021-09-13,157.52,158.85,154.37,155.53,88145.0,NKE,4.48,157.9118,160.7586,159.0035,157.6387,67443.8,155.53,167.77,155.53,0,2,,
2021-09-14,155.19,155.4,153.14,154.79,53239.0,NKE,2.26,157.7893,160.2995,158.1608,156.4992,66794.0,154.79,166.12,154.79,1,0,,
2021-09-15,153.56,154.36,151.78,153.96,68271.0,NKE,2.58,157.639,159.8118,157.3206,155.4835,67264.8,153.96,165.46,153.96,2,0,,
2021-09-16,153.65,155.03,153.27,153.66,50859.0,NKE,1.76,157.4828,159.3386,156.5885,154.7541,60607.0,153.66,165.46,153.66,3,0,,
2021-09-17,154.01,156.97,152.17,152.51,79448.0,NKE,4.8,157.2877,158.8133,155.7728,153.8565,67992.4,152.51,165.46,152.51,4,0,,
2021-09-20,149.89,151.39,148.51,150.39,70412.0,NKE,2.88,157.017,158.1654,154.6962,152.4699,64445.8,150.39,165.46,150.39,5,0,,
2021-09-21,151.21,152.23,149.74,151.14,58579.0,NKE,2.49,156.7863,157.625,153.985,151.9379,65513.8,150.39,165.46,150.39,6,0,,
2021-09-22,152.87,154.05,151.71,153.5,68448.0,NKE,2.34,156.6574,157.3077,153.888,152.5628,65549.2,150.39,165.32,150.39,7,0,,
2021-09-23,154.74,156.28,154.31,155.59,119815.0,NKE,1.97,156.6155,157.1755,154.2284,153.7737,79340.4,150.39,163.83,150.39,8,0,,enterL3
2021-09-24,147.26,148.05,144.3,145.85,269133.0,NKE,3.75,156.193,156.3043,152.5527,150.6042,117277.4,145.85,163.83,145.85,9,0,,
2021-09-27,145.77,146.16,143.61,144.34,114793.0,NKE,2.55,155.7279,155.384,150.9102,148.0985,126153.6,144.34,163.83,144.34,10,0,,
2021-09-28,143.65,143.84,141.37,141.67,106923.0,NKE,2.47,155.1763,154.3291,149.0621,145.5271,135822.4,141.67,160.62,141.67,11,0,,
2021-09-29,142.07,144.24,142.05,142.37,77949.0,NKE,2.19,154.6738,153.4092,147.7237,144.2643,137722.6,141.67,160.44,141.67,12,0,,
2021-09-30,142.23,143.79,140.81,141.6,101336.0,NKE,2.98,154.1608,152.5008,146.499,143.1986,134026.8,141.6,159.58,141.6,13,0,,
2021-10-01,141.59,144.3,140.76,143.38,81123.0,NKE,3.54,153.7378,151.7992,145.8752,143.2711,96424.8,141.6,159.5,141.6,14,0,,
2021-10-04,143.38,143.93,142.11,143.46,79510.0,NKE,1.82,153.3346,151.1577,145.3921,143.3467,89368.2,141.6,159.5,141.6,15,0,,
2021-10-05,144.3,147.22,144.12,145.72,108819.0,NKE,3.1,153.0358,150.7394,145.4577,144.296,89747.4,141.6,159.5,141.6,16,0,,
2021-10-06,144.3,145.72,143.82,145.08,76107.0,NKE,1.9,152.7237,150.3041,145.3822,144.6096,89379.0,141.6,159.5,141.6,17,0,,
2021-10-07,146.54,149.82,146.5,148.05,79580.0,NKE,3.32,152.5403,150.1307,145.9157,145.9858,85027.8,141.6,159.5,141.6,18,0,,
2021-10-08,148.41,149.05,146.9,148.67,63337.0,NKE,2.15,152.3885,150.0183,146.4666,147.0595,81470.6,143.38,155.59,141.6,19,0,,
2021-10-11,148.19,149.75,146.31,146.52,55512.0,NKE,3.44,152.1583,149.7492,146.4773,146.8437,76671.0,143.46,155.59,141.6,20,0,,
2021-10-12,148.61,149.76,147.52,149.51,74086.0,NKE,2.24,152.0544,149.7308,147.0838,147.9102,69724.4,145.08,155.59,141.6,21,0,,
2021-10-13,150.46,152.75,149.33,152.39,84563.0,NKE,3.42,152.0675,149.9354,148.1451,149.7021,71415.6,145.08,155.59,141.6,22,0,,
2021-10-14,154.22,154.5,152.34,153.21,60245.0,NKE,2.16,152.1123,150.1873,149.158,151.1053,67548.6,146.52,155.59,141.6,0,1,,
2021-10-15,153.85,154.37,152.64,154.06,55321.0,NKE,1.73,152.1888,150.4852,150.1384,152.2872,65945.4,146.52,155.59,141.6,0,2,,
2021-10-18,153.38,155.48,152.05,155.44,57653.0,NKE,3.43,152.3163,150.8663,151.1987,153.5483,66373.6,146.52,155.59,141.6,0,3,,
2021-10-19,155.69,155.93,152.88,153.87,61982.0,NKE,3.05,152.3772,151.0974,151.733,153.677,63952.8,149.51,155.59,141.6,0,4,,
2021-10-20,154.54,154.83,153.39,154.49,44870.0,NKE,1.44,152.4601,151.3583,152.2844,154.0022,56014.2,152.39,155.59,141.6,0,5,,
