date,o,h,l,c,symbol,tRange,ema50,ema25,ema9,ema4,min6,e50streak_under,e50streak_over,decision_number,type1
2019-01-24,259.5,260.475,259.4,260.175,FC,1.075,260.7251,260.2008,259.5935,259.4342,257.35,10,0,,
2019-01-25,260.5,260.725,259.15,259.475,FC,1.575,260.676,260.145,259.5698,259.4505,257.35,11,0,,
2019-01-28,258.85,260.55,258.8,260.2,FC,1.75,260.6574,260.1492,259.6958,259.7503,257.35,12,0,,
2019-01-29,260.05,260.85,259.95,260.1,FC,0.9,260.6355,260.1454,259.7767,259.8902,257.35,13,0,,
2019-01-30,260.025,260.4,259.775,260.15,FC,0.625,260.6165,260.1458,259.8513,259.9941,259.475,14,0,,
2019-01-31,260.35,261.425,258.25,258.4,FC,3.175,260.5296,260.0115,259.5611,259.3565,258.4,15,0,,
2019-02-01,258.4,258.975,258.025,258.375,FC,0.95,260.4451,259.8856,259.3239,258.9639,258.375,16,0,,
2019-02-04,258.375,261.125,258.375,260.075,FC,2.75,260.4306,259.9002,259.4741,259.4083,258.375,17,0,,
2019-02-05,260.3,260.65,259.1,259.675,FC,1.55,260.4009,259.8829,259.5143,259.515,258.375,18,0,,
2019-02-06,259.65,260.35,258.875,259.025,FC,1.475,260.347,259.8169,259.4164,259.319,258.375,19,0,,
2019-02-07,259.075,259.625,258.6,259.1,FC,1.025,260.2981,259.7617,259.3531,259.2314,258.375,20,0,,
2019-02-08,259.45,260.175,259.125,259.95,FC,1.05,260.2844,259.7762,259.4725,259.5188,258.375,21,0,,
2019-02-11,259.975,260.725,259.8,260.525,FC,0.925,260.2939,259.8338,259.683,259.9213,259.025,22,0,,
2019-02-12,260.675,260.75,259.95,260.25,FC,0.8,260.2921,259.8658,259.7964,260.0528,259.025,0,1,,
2019-02-13,259.975,260.1,259.25,259.375,FC,0.85,260.2562,259.8281,259.7121,259.7817,259.025,1,0,,enterS2
2019-02-14,259.375,260.175,258.475,259.925,FC,1.7,260.2432,259.8355,259.7547,259.839,259.1,2,0,,
2019-02-15,259.95,260.075,257.8,258.45,FC,2.275,260.1729,259.7289,259.4938,259.2834,258.45,3,0,,
2019-02-19,258.425,260.5,257.95,259.6,FC,2.55,260.1504,259.719,259.515,259.41,258.45,4,0,,
2019-02-20,259.55,259.975,259.075,259.725,FC,0.9,260.1337,259.7195,259.557,259.536,258.45,5,0,,
2019-02-21,259.35,260.025,258.55,259.075,FC,1.475,260.0922,259.6699,259.4606,259.3516,258.45,6,0,,
2019-02-22,259.2,259.3,258.55,258.75,FC,0.75,260.0396,259.5991,259.3185,259.111,258.45,7,0,,
