symbol,date,close,entryprice,type,eo,state,decision_number
BP1,2019-04-10,1.3209,,exitStopS2,exitS2,,1.9
BP1,2019-04-26,1.3026,,Short2,enterS2,Short2,1.5
BP1,2019-04-30,1.3146,,exitStopS2,exitS2,,1.9
BP1,2019-05-24,1.2804,,Short2,enterS2,Short2,1.5
BP1,2019-06-21,1.2826,,exitStopS2,exitS2,,1.9
BP1,2019-06-28,1.2779,,Short2,enterS2,Short2,1.5
BP1,2019-08-09,1.2079,,exitStopS2,exitS2,,1.9
BP1,2019-08-12,1.2129,,Short2,enterS2,Short2,1.5
BP1,2019-08-16,1.2195,,exitStopS2,exitS2,,1.9
BP1,2019-09-04,1.2291,,Short2,enterS2,Short2,1.5
BP1,2019-09-05,1.2369,,exitStopS2,exitS2,,1.9
BP1,2019-09-12,1.2368,,Short2,enterS2,Short2,1.5
BP1,2019-09-13,1.2534,,exitStopS2,exitS2,,1.9
BP1,2019-10-01,1.2333,,Short2,enterS2,Short2,1.5
BP1,2019-10-10,1.2463,,exitStopS2,exitS2,,1.9
BP1,2020-02-04,1.2996,,Short2,enterS2,Short2,1.5
BP1,2020-03-09,1.3077,,exitStopS2,exitS2,,1.9
BP1,2020-03-20,1.1631,,Short2,enterS2,Short2,1.5
BP1,2020-03-26,1.2181,,exitStopS2,exitS2,,1.9
BP1,2020-04-06,1.2204,,Short2,enterS2,Short2,1.5
BP1,2020-04-07,1.2303,,exitStopS2,exitS2,,1.9
BP1,2020-04-08,1.2354,,Short2,enterS2,Short2,1.5
BP1,2020-04-09,1.2423,,exitStopS2,exitS2,,1.9
BP1,2020-04-22,1.2298,,Short2,enterS2,Short2,1.5
BP1,2020-04-27,1.2392,,exitStopS2,exitS2,,1.9
BP1,2020-05-07,1.2322,,Short2,enterS2,Short2,1.5
BP1,2020-06-01,1.2449,,exitStopS2,exitS2,,1.9
BP1,2020-06-11,1.2537,,Short3,enterS3,Short3,2.3
BP1,2020-06-15,1.2577,,exitStopS3,exitS3,,2.7
BP1,2020-06-30,1.2372,,Short2,enterS2,Short2,1.5
BP1,2020-07-01,1.2444,,exitStopS2,exitS2,,1.9
BP1,2020-09-14,1.2864,,Short2,enterS2,Short2,1.5
BP1,2020-09-15,1.2911,,exitStopS2,exitS2,,1.9
BP1,2020-09-24,1.2764,,Short2,enterS2,Short2,1.5
BP1,2020-09-28,1.2852,,exitStopS2,exitS2,,1.9
BP1,2021-03-25,1.3732,,Short2,enterS2,Short2,1.5
BP1,2021-03-26,1.3791,,exitStopS2,exitS2,,1.9
BP1,2021-04-08,1.373,,Short2,enterS2,Short2,1.5
BP1,2021-04-16,1.3845,,exitStopS2,exitS2,,1.9
BP1,2021-06-21,1.3928,,Short2,enterS2,Short2,1.5
BP1,2021-06-22,1.3941,,exitStopS2,exitS2,,1.9
BP1,2021-06-23,1.3957,,Short2,enterS2,Short2,1.5
BP1,2021-10-13,1.3652,,exitStopS2,exitS2,,1.9
BP1,2021-11-03,1.3675,,Short2,enterS2,Short2,1.5
BP1,2021-12-16,1.3327,,exitStopS2,exitS2,,1.9
BP1,2021-12-21,1.3265,,Short2,enterS2,Short2,1.5
BP1,2021-12-22,1.3351,,exitStopS2,exitS2,,1.9
BP1,2022-01-28,1.3391,,Short2,enterS2,Short2,1.5
BP1,2022-01-31,1.3439,,exitStopS2,exitS2,,1.9
BP,2017-01-11,1.2813,,Short2,enterS2,Short2,1.5
BP,2017-01-17,1.3001,,exitStopS2,exitS2,,1.9
BP,2017-03-03,1.2871,,Short2,enterS2,Short2,1.5
BP,2017-03-16,1.295,,exitStopS2,exitS2,,1.9
BP,2017-04-10,1.3001,,Short2,enterS2,Short2,1.5
BP,2017-04-11,1.3073,,exitStopS2,exitS2,,1.9
BP,2017-06-13,1.3318,,Short2,enterS2,Short2,1.5
BP,2017-06-15,1.3325,,exitStopS2,exitS2,,1.9
BP,2017-06-21,1.3228,,Short2,enterS2,Short2,1.5
BP,2017-06-23,1.3282,,exitStopS2,exitS2,,1.9
BP,2017-08-16,1.3424,,Short2,enterS2,Short2,1.5
BP,2017-08-28,1.3474,,exitStopS2,exitS2,,1.9
BP,2017-10-09,1.3669,,Short2,enterS2,Short2,1.5
BP,2017-10-10,1.3718,,exitStopS2,exitS2,,1.9
BP,2017-10-18,1.3715,,Short2,enterS2,Short2,1.5
BP,2017-10-25,1.3765,,exitStopS2,exitS2,,1.9
BP,2017-11-03,1.3574,,Short2,enterS2,Short2,1.5
BP,2017-11-06,1.3678,,exitStopS2,exitS2,,1.9
BP,2017-11-14,1.3667,,Short2,enterS2,Short2,1.5
BP,2017-11-17,1.3719,,exitStopS2,exitS2,,1.9
BP,2018-01-25,1.4574,,Short3,enterS3,Short3,2.3
BP,2018-01-26,1.4613,,exitStopS3,exitS3,,2.7
BP,2018-03-01,1.4205,,Short2,enterS2,Short2,1.5
BP,2018-03-02,1.4224,,exitStopS2,exitS2,,1.9
BP,2018-04-24,1.4376,,Short2,enterS2,Short2,1.5
BP,2018-06-19,1.3534,,exitStopS2,exitS2,,1.9
BP,2018-06-20,1.3552,,Short2,enterS2,Short2,1.5
BP,2018-06-21,1.3619,,exitStopS2,exitS2,,1.9
BP,2018-06-22,1.3625,,Short2,enterS2,Short2,1.5
BP,2018-08-29,1.3343,,exitStopS2,exitS2,,1.9
BP,2018-09-05,1.3216,,Short2,enterS2,Short2,1.5
BP,2018-09-10,1.3345,,exitStopS2,exitS2,,1.9
BP,2018-10-01,1.3344,,Short2,enterS2,Short2,1.5
BP,2018-10-09,1.3448,,exitStopS2,exitS2,,1.9
BP,2018-10-19,1.3361,,Short2,enterS2,Short2,1.5
BP,2018-11-07,1.3432,,exitStopS2,exitS2,,1.9
BP,2018-11-13,1.3235,,Short2,enterS2,Short2,1.5
BP,2018-12-12,1.29,,exitStopS2,exitS2,,1.9
BP,2018-12-13,1.2924,,Short2,enterS2,Short2,1.5
BP,2018-12-24,1.2974,,exitStopS2,exitS2,,1.9
BP,2018-12-28,1.2943,,Short2,enterS2,Short2,1.5
BP,2018-12-31,1.2993,,exitStopS2,exitS2,,1.9
BP,2019-01-03,1.2879,,Short2,enterS2,Short2,1.5
BP,2019-01-04,1.2987,,exitStopS2,exitS2,,1.9
BP,2019-02-12,1.3123,,Short2,enterS2,Short2,1.5
BP,2019-02-19,1.3287,,exitStopS2,exitS2,,1.9
BP,2019-04-08,1.3256,,Short2,enterS2,Short2,1.5
BP,2019-04-10,1.3272,,exitStopS2,exitS2,,1.9
BP,2019-04-26,1.3103,,Short2,enterS2,Short2,1.5
BP,2019-04-30,1.3213,,exitStopS2,exitS2,,1.9
BP,2019-05-09,1.3192,,Short2,enterS2,Short2,1.5
BP,2019-05-24,1.2871,,exitStopS2,exitS2,,1.9
BP,2019-05-31,1.2787,,Short2,enterS2,Short2,1.5
BP,2019-06-03,1.282,,exitStopS2,exitS2,,1.9
BP,2019-06-11,1.2869,,Short2,enterS2,Short2,1.5
BP,2019-06-24,1.2881,,exitStopS2,exitS2,,1.9
BP,2019-06-28,1.2841,,Short2,enterS2,Short2,1.5
BP,2019-09-13,1.2571,,exitStopS2,exitS2,,1.9
BP,2019-09-30,1.2383,,Short2,enterS2,Short2,1.5
BP,2019-10-03,1.2434,,exitStopS2,exitS2,,1.9
BP,2020-02-04,1.3065,,Short2,enterS2,Short2,1.5
BP,2020-02-13,1.3077,,exitStopS2,exitS2,,1.9
BP,2020-02-21,1.2994,,Short2,enterS2,Short2,1.5
BP,2020-02-25,1.302,,exitStopS2,exitS2,,1.9
BP,2020-03-03,1.2828,,Short2,enterS2,Short2,1.5
BP,2020-03-04,1.2883,,exitStopS2,exitS2,,1.9
BP,2020-03-05,1.2961,,Short2,enterS2,Short2,1.5
BP,2020-03-06,1.3031,,exitStopS2,exitS2,,1.9
BP,2020-03-20,1.1576,,Short2,enterS2,Short2,1.5
BP,2020-03-26,1.2157,,exitStopS2,exitS2,,1.9
BP,2020-04-06,1.23,,Short2,enterS2,Short2,1.5
BP,2020-04-07,1.2337,,exitStopS2,exitS2,,1.9
BP,2020-04-08,1.2389,,Short2,enterS2,Short2,1.5
BP,2020-04-09,1.2444,,exitStopS2,exitS2,,1.9
BP,2020-04-22,1.2311,,Short2,enterS2,Short2,1.5
BP,2020-04-27,1.2414,,exitStopS2,exitS2,,1.9
BP,2020-05-07,1.2348,,Short2,enterS2,Short2,1.5
BP,2020-06-01,1.2485,,exitStopS2,exitS2,,1.9
BP,2020-06-11,1.2584,,Short3,enterS3,Short3,2.3
