2020-06-30, symbol: futures_CD_B, Trigger: enterL2, close: 0.74085
2020-07-30, symbol: futures_CD_B, Trigger: enterS3, close: 0.7487
2020-08-24, symbol: futures_CD_B, Trigger: enterS3, close: 0.76035
2020-09-03, symbol: futures_CD_B, Trigger: enterS3, close: 0.76605
2020-09-21, symbol: futures_CD_B, Trigger: enterS1, close: 0.75545
2020-09-30, symbol: futures_CD_B, Trigger: enterL3, close: 0.75575
2020-10-15, symbol: futures_CD_B, Trigger: enterS3, close: 0.7607
2020-10-26, symbol: futures_CD_B, Trigger: enterS3, close: 0.76225
2020-11-02, symbol: futures_CD_B, Trigger: enterL2, close: 0.7603
2020-11-12, symbol: futures_CD_B, Trigger: enterS3, close: 0.76565
2020-12-18, symbol: futures_CD_B, Trigger: enterS3, close: 0.78635
2020-12-24, symbol: futures_CD_B, Trigger: enterL2, close: 0.78475
2020-12-29, symbol: futures_CD_B, Trigger: enterL2, close: 0.7848
2021-01-11, symbol: futures_CD_B, Trigger: enterS3, close: 0.78685
2021-01-26, symbol: futures_CD_B, Trigger: enterL2, close: 0.79175
2021-02-01, symbol: futures_CD_B, Trigger: enterS1, close: 0.78275
2021-02-05, symbol: futures_CD_B, Trigger: enterL2, close: 0.78725
2021-02-26, symbol: futures_CD_B, Trigger: enterS3, close: 0.79095
2021-03-23, symbol: futures_CD_B, Trigger: enterS3, close: 0.79955
2021-03-31, symbol: futures_CD_B, Trigger: enterL2, close: 0.7996
2021-04-07, symbol: futures_CD_B, Trigger: enterS1, close: 0.79605
2021-04-08, symbol: futures_CD_B, Trigger: enterL2, close: 0.79975
2021-04-20, symbol: futures_CD_B, Trigger: enterS3, close: 0.79645
2021-05-19, symbol: futures_CD_B, Trigger: enterS3, close: 0.828
2021-06-16, symbol: futures_CD_B, Trigger: enterS1, close: 0.81915
2021-07-02, symbol: futures_CD_B, Trigger: enterL3, close: 0.814
2021-07-21, symbol: futures_CD_B, Trigger: enterL3, close: 0.8
2021-08-03, symbol: futures_CD_B, Trigger: enterS2, close: 0.8015
2021-09-03, symbol: futures_CD_B, Trigger: enterL1, close: 0.803
2021-09-07, symbol: futures_CD_B, Trigger: enterS2, close: 0.79485
2021-09-15, symbol: futures_CD_B, Trigger: enterL3, close: 0.79495
2021-12-07, symbol: futures_CD_B, Trigger: enterL3, close: 0.79455
2021-12-10, symbol: futures_CD_B, Trigger: enterS2, close: 0.7895
2021-12-22, symbol: futures_CD_B, Trigger: enterL3, close: 0.78235
2021-12-31, symbol: futures_CD_B, Trigger: enterL1, close: 0.79425
2022-01-21, symbol: futures_CD_B, Trigger: enterS3, close: 0.7989
2022-02-02, symbol: futures_CD_B, Trigger: enterL3, close: 0.79315
2022-02-07, symbol: futures_CD_B, Trigger: enterL2, close: 0.7934
2022-03-04, symbol: futures_CD_B, Trigger: enterS2, close: 0.78855
2022-04-06, symbol: futures_CD_B, Trigger: enterS3, close: 0.8019
2022-04-20, symbol: futures_CD_B, Trigger: enterL3, close: 0.803
2022-05-04, symbol: futures_CD_B, Trigger: enterL3, close: 0.78785
2022-05-13, symbol: futures_CD_B, Trigger: enterL3, close: 0.77685
2022-06-09, symbol: futures_CD_B, Trigger: enterS3, close: 0.79195
2022-06-27, symbol: futures_CD_B, Trigger: enterL3, close: 0.78055
2022-07-13, symbol: futures_CD_B, Trigger: enterL3, close: 0.77505
2022-08-05, symbol: futures_CD_B, Trigger: enterS3, close: 0.77665
2022-08-08, symbol: futures_CD_B, Trigger: enterL2, close: 0.7811
2022-08-25, symbol: futures_CD_B, Trigger: enterL3, close: 0.77665
2022-09-09, symbol: futures_CD_B, Trigger: enterL3, close: 0.7712
2022-10-04, symbol: futures_CD_B, Trigger: enterL3, close: 0.74455
2022-10-17, symbol: futures_CD_B, Trigger: enterL3, close: 0.733
2022-11-03, symbol: futures_CD_B, Trigger: enterS3, close: 0.73255
2022-11-04, symbol: futures_CD_B, Trigger: enterL1, close: 0.7462
2022-11-18, symbol: futures_CD_B, Trigger: enterS3, close: 0.75115
2022-11-30, symbol: futures_CD_B, Trigger: enterL2, close: 0.7481
2022-12-13, symbol: futures_CD_B, Trigger: enterL3, close: 0.7416
2023-01-18, symbol: futures_CD_B, Trigger: enterS3, close: 0.7447
2023-01-30, symbol: futures_CD_B, Trigger: enterS3, close: 0.75055
2023-02-10, symbol: futures_CD_B, Trigger: enterL2, close: 0.7526
2023-03-14, symbol: futures_CD_B, Trigger: enterL3, close: 0.73385
2023-03-21, symbol: futures_CD_B, Trigger: enterS2, close: 0.73195
2023-04-19, symbol: futures_CD_B, Trigger: enterS3, close: 0.7455
2023-04-28, symbol: futures_CD_B, Trigger: enterL3, close: 0.74135
2023-05-15, symbol: futures_CD_B, Trigger: enterL2, close: 0.7449
2023-06-01, symbol: futures_CD_B, Trigger: enterL3, close: 0.7458
2023-06-28, symbol: futures_CD_B, Trigger: enterS3, close: 0.7565
2023-07-11, symbol: futures_CD_B, Trigger: enterL2, close: 0.7567
2023-07-21, symbol: futures_CD_B, Trigger: enterS3, close: 0.75875
2023-07-31, symbol: futures_CD_B, Trigger: enterL2, close: 0.76035
2023-08-01, symbol: futures_CD_B, Trigger: enterS1, close: 0.75375
2023-08-30, symbol: futures_CD_B, Trigger: enterL3, close: 0.7401
2023-09-19, symbol: futures_CD_B, Trigger: enterL1, close: 0.74475
2023-09-26, symbol: futures_CD_B, Trigger: enterS2, close: 0.7404
2013-09-12, symbol: futures_FC_B, Trigger: enterL2, close: 230.725
2013-10-17, symbol: futures_FC_B, Trigger: enterS3, close: 238.75
2013-10-28, symbol: futures_FC_B, Trigger: enterL2, close: 239.025
2013-11-06, symbol: futures_FC_B, Trigger: enterL2, close: 237.65
2013-11-14, symbol: futures_FC_B, Trigger: enterL2, close: 237.3
2013-11-26, symbol: futures_FC_B, Trigger: enterL3, close: 236.475
2013-12-05, symbol: futures_FC_B, Trigger: enterS2, close: 236.225
2014-01-02, symbol: futures_FC_B, Trigger: enterS3, close: 239.625
2014-01-15, symbol: futures_FC_B, Trigger: enterL2, close: 240.65
2014-01-28, symbol: futures_FC_B, Trigger: enterS3, close: 241.0
2014-02-04, symbol: futures_FC_B, Trigger: enterS1, close: 239.6
2014-02-10, symbol: futures_FC_B, Trigger: enterL2, close: 240.525
2014-03-06, symbol: futures_FC_B, Trigger: enterS3, close: 244.025
2014-03-20, symbol: futures_FC_B, Trigger: enterS3, close: 246.775
2014-04-02, symbol: futures_FC_B, Trigger: enterL2, close: 248.55
2014-04-17, symbol: futures_FC_B, Trigger: enterS3, close: 249.575
2014-05-23, symbol: futures_FC_B, Trigger: enterS3, close: 261.025
2014-06-18, symbol: futures_FC_B, Trigger: enterS3, close: 273.025
2014-07-09, symbol: futures_FC_B, Trigger: enterS3, close: 281.775
2014-07-21, symbol: futures_FC_B, Trigger: enterL2, close: 281.2
2014-08-07, symbol: futures_FC_B, Trigger: enterS3, close: 286.425
2014-08-18, symbol: futures_FC_B, Trigger: enterL2, close: 285.075
2014-08-20, symbol: futures_FC_B, Trigger: enterS1, close: 279.925
2014-08-26, symbol: futures_FC_B, Trigger: enterL2, close: 282.025
2014-10-10, symbol: futures_FC_B, Trigger: enterS3, close: 308.9
2014-10-23, symbol: futures_FC_B, Trigger: enterL2, close: 306.7
2014-11-03, symbol: futures_FC_B, Trigger: enterL2, close: 305.525
2014-11-24, symbol: futures_FC_B, Trigger: enterS3, close: 309.075
2014-12-01, symbol: futures_FC_B, Trigger: enterL2, close: 309.8
2014-12-11, symbol: futures_FC_B, Trigger: enterS1, close: 304.325
2014-12-31, symbol: futures_FC_B, Trigger: enterL3, close: 295.075
2015-01-08, symbol: futures_FC_B, Trigger: enterS2, close: 294.8
2015-01-30, symbol: futures_FC_B, Trigger: enterL3, close: 282.95
2015-03-05, symbol: futures_FC_B, Trigger: enterL1, close: 286.0
2015-04-07, symbol: futures_FC_B, Trigger: enterS3, close: 296.275
2015-04-16, symbol: futures_FC_B, Trigger: enterL2, close: 294.25
2015-04-23, symbol: futures_FC_B, Trigger: enterL2, close: 292.525
2015-05-18, symbol: futures_FC_B, Trigger: enterS3, close: 296.3
2015-06-12, symbol: futures_FC_B, Trigger: enterS3, close: 303.025
2015-06-25, symbol: futures_FC_B, Trigger: enterS1, close: 298.625
2015-07-15, symbol: futures_FC_B, Trigger: enterL3, close: 294.9
2015-08-03, symbol: futures_FC_B, Trigger: enterL3, close: 293.425
2015-08-14, symbol: futures_FC_B, Trigger: enterS2, close: 292.85
2015-09-08, symbol: futures_FC_B, Trigger: enterL3, close: 284.95
2015-10-06, symbol: futures_FC_B, Trigger: enterL3, close: 267.325
2015-10-16, symbol: futures_FC_B, Trigger: enterL1, close: 279.45
2015-10-27, symbol: futures_FC_B, Trigger: enterS2, close: 277.2
2015-11-23, symbol: futures_FC_B, Trigger: enterL3, close: 262.45
